question,label
học phần điều kiện là gì?,Definition
cho tôi biết định nghĩa của tín chỉ,Definition
sinh viên có được phép nghỉ học tạm thời không?,Yes/No
có phải sinh viên năm cuối mới được làm khóa luận không?,Yes/No
liệt kê các mức học bổng của trường,List
những trường hợp nào thì sinh viên bị cảnh cáo học vụ?,List
điểm F là bao nhiêu điểm?,Factoid
khi nào thì hết hạn đăng ký tín chỉ?,Factoid
làm thế nào để đăng ký học lại?,Inference
phân biệt giữa chương trình đào tạo chuẩn và chất lượng cao,Inference
hãy mô tả quy trình xét tốt nghiệp,Definition
tôi có thể đăng ký bảo lưu kết quả học tập không?,Yes/No
các điều kiện để xét học bổng chính sách,List
tín chỉ tối thiểu cho một học kỳ là bao nhiêu?,Factoid
làm sao để yêu cầu đổi môn học?,Inference
hãy cho ví dụ về trường hợp miễn học phần,List
khả năng đăng ký song bằng có được không?,Yes/No
tìm hiểu định nghĩa học phí,Definition
bao nhiêu tín chỉ được miễn giảm học phí?,Factoid
quy trình khiếu nại điểm thi,Inference
liệt kê các hình thức đánh giá học phần,List
sinh viên nghỉ học bù có được không?,Yes/No
điểm tích lũy tối thiểu để xét tốt nghiệp,Factoid
mô tả quy trình xác nhận tốt nghiệp,Definition
làm thế nào để xin cấp lại bằng tốt nghiệp?,Inference
"Giải thích khái niệm 'tín chỉ học tập'.",Definition
"Chương trình đào tạo chuẩn được định nghĩa như thế nào?",Definition
"Học phần tự chọn có điều kiện nghĩa là gì?",Definition
"Thế nào là một học kỳ chính?",Definition
"Mô tả về học phần thay thế tốt nghiệp.",Definition
"Hãy cho biết về thang điểm chữ.",Definition
"Xử lý học vụ là gì?",Definition
"Vui lòng giải thích về việc học cùng lúc hai chương trình.",Definition
"Học vượt là sao?",Definition
"Thế nào được coi là đạo văn trong khóa luận?",Definition
"Cho tôi biết định nghĩa của chương trình đào tạo chất lượng cao.",Definition
"Học phần tiên quyết có ý nghĩa gì?",Definition
"Mô tả quy trình đăng ký học phần.",Definition
"Điểm trung bình chung tích lũy được hiểu là gì?",Definition
"Giải thích về các học phần bắt buộc.",Definition
"Sinh viên có phải đóng học phí cho các môn học lại không?",Yes/No
"Có được đăng ký ít hơn số tín chỉ tối thiểu không?",Yes/No
"Sinh viên có thể rút bớt học phần đã đăng ký không?",Yes/No
"Có phải tất cả các ngành đều có cùng mức học phí không?",Yes/No
"Điểm F có được tính vào điểm trung bình không?",Yes/No
"Có thể bảo lưu kết quả học tập giữa chừng một học kỳ không?",Yes/No
"Bằng tốt nghiệp loại xuất sắc có yêu cầu gì về điểm rèn luyện không?",Yes/No
"Có cần hoàn thành giáo dục thể chất để được tốt nghiệp không?",Yes/No
"Sinh viên có được phép thi lại để cải thiện điểm A không?",Yes/No
"Nộp đơn phúc khảo có mất phí không?",Yes/No
"Có phải sinh viên nào cũng được đăng ký học song bằng không?",Yes/No
"Sinh viên có được sử dụng tài liệu trong kỳ thi cuối kỳ không?",Yes/No
"Thời gian nghỉ học tạm thời có tính vào thời gian đào tạo chính thức không?",Yes/No
"Có được chuyển ngành sau khi đã học xong năm thứ hai không?",Yes/No
"Liệt kê các điều kiện để sinh viên được làm khóa luận tốt nghiệp.",List
"Những trường hợp nào sinh viên sẽ bị buộc thôi học?",List
"Kể ra các loại học bổng mà sinh viên có thể nhận được.",List
"Danh sách các giấy tờ cần thiết để làm thủ tục nhập học là gì?",List
"Các hình thức xử lý vi phạm quy chế thi gồm những gì?",List
"Cho tôi danh sách các học phần tự chọn của ngành Khoa học máy tính.",List
"Những môn nào thuộc khối kiến thức giáo dục đại cương?",List
"Các cấp độ cảnh cáo học vụ gồm những gì?",List
"Hãy liệt kê các điều kiện để được xét tốt nghiệp.",List
"Những quyền lợi chính của sinh viên là gì?",List
"Các khoản phí bắt buộc ngoài học phí là những khoản nào?",List
"Những ai được miễn học phần ngoại ngữ?",List
"Kể tên các chương trình đào tạo đặc biệt của trường.",List
"Cần bao nhiêu tín chỉ cho các học phần tự chọn?",Factoid
"Thời gian tối đa để hoàn thành chương trình đào tạo là mấy năm?",Factoid
"Một năm học có bao nhiêu học kỳ phụ?",Factoid
"Điểm trung bình cần thiết để đạt học bổng loại Khá là bao nhiêu?",Factoid
"Hạn chót để đóng học phí cho học kỳ 1 là khi nào?",Factoid
"Điểm B+ tương ứng với thang điểm 4 là mấy?",Factoid
"Sinh viên cần liên hệ phòng ban nào để xin bảng điểm?",Factoid
"Có bao nhiêu cấp độ xử lý học vụ?",Factoid
"Mỗi lớp học phần có tối đa bao nhiêu sinh viên?",Factoid
"Thời gian cho một ca thi viết là bao lâu?",Factoid
"Thủ tục xin cấp lại thẻ sinh viên được thực hiện ở đâu?",Factoid
"Điểm rèn luyện loại Xuất sắc cần bao nhiêu điểm?",Factoid
"Học phí cho chương trình chất lượng cao là bao nhiêu một năm?",Factoid
"So sánh giữa việc học cải thiện điểm và học lại.",Inference
"Nếu một sinh viên bị điểm trung bình 1.5 ở hai học kỳ liên tiếp thì sẽ như thế nào?",Inference
"Điều kiện để chuyển từ học chương trình chuẩn sang học chương trình tài năng là gì?",Inference
"Làm thế nào để sinh viên có thể đăng ký học vượt tiến độ?",Inference
"Tại sao việc đăng ký đủ khối lượng học tập tối thiểu lại quan trọng?",Inference
"Phân biệt giữa học phần thay thế và học phần tương đương.",Inference
"Nếu bị điểm F môn tiên quyết thì ảnh hưởng thế nào đến các môn sau?",Inference
"Giải thích quy trình từ lúc nhận đề tài đến lúc bảo vệ khóa luận tốt nghiệp.",Inference
"Một sinh viên muốn học văn bằng 2 ngành khác thì cần bắt đầu từ đâu và cần điều kiện gì?",Inference
"Tác động của việc bị cảnh cáo học vụ đến việc xét học bổng như thế nào?",Inference
"Nếu muốn khiếu nại về điểm thi, sinh viên cần thực hiện các bước như thế nào?",Inference
"Làm sao để biết một học phần có được mở trong học kỳ hè không?",Inference
"Một sinh viên năm nhất cần lưu ý những mốc thời gian quan trọng nào trong một học kỳ?",Inference
"Phân tích ưu và nhược điểm của việc học cùng lúc hai chương trình.",Inference
"Khái niệm 'giờ tín chỉ' được quy định ra sao?",Definition
"Thang điểm 4 là gì và cách quy đổi của nó như thế nào?",Definition
